ID,ID LATTES,ORIENTAÇÕES CONC. TCC,ORIENTACOES CONC. ESPECIALIZACAO,O.P MESTRADO CONC.,O.P MESTRADO AND.,O.P DOUTORADO CONC.,O.P DOUTORADO AND.,C.O MESTRADO CONC.,C.O MESTRADO AND.,C.O DOUTORADO CONC.,C.O DOUTORADO AND.,BOLSA PRODUTIVIDADE,PUB. TEC. E ART.,LIVROS ISBN,CAPÍTULOS ISBN,PUB. TRAB. EVENTOS,PATENTES,REGISTROS DE SW,ORIENTAÇÕES I.C,EVENTOS ORGANIZADOS,PUBLICAÇÕES CIENTÍFICAS,PI,Obs,Grande Área,Titulação,Unidade
345,1328561082238373,3,0,0,0,0,0,0,3,0,2,,2,4,0,0,0,6,2,0,8,"88,72",,Ciências da Saúde,Campus Petrolina,Campus Petrolina
346,7825961478944459,8,0,5,4,0,1,1,1,1,1,1,0,0,1,0,0,0,8,0,26,"289,52",,Ciências Biológicas,Campus Petrolina,Campus Petrolina
347,6886656870702250,0,4,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,4,"40,42",,Ciências da Saúde,Faculdade de Ciências Médicas de Pernambuco,Faculdade de Ciências Médicas de Pernambuco
348,8317517642436355,19,0,0,0,0,0,0,0,0,0,,0,1,4,1,0,0,3,0,3,"100,76",,Ciências Humanas,Campus Mata Norte,Campus Mata Norte
349,6730016892651974,4,1,6,4,0,1,5,3,1,1,1,3,0,2,1,1,0,32,7,48,"484,98",,Ciências da Saúde,Campus Arcoverde,Campus Arcoverde
350,4438530559852302,3,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,3,"29,85",,Ciências da Saúde,Escola Superior de Educação Física,Escola Superior de Educação Física
351,3230197001761662,0,2,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,6,1,5,"47,99",,Ciências da Saúde,Campus Serra Talhada,Campus Serra Talhada
352,6696512456439349,17,0,0,1,0,0,0,0,0,0,,0,0,6,0,0,0,6,10,18,"207,01",,Ciências Humanas,Campus Mata Norte,Campus Mata Norte
353,3426219289728672,0,0,0,0,0,0,0,0,0,0,,0,0,3,0,0,0,2,6,7,"53,62",,Ciências da Saúde,Campus Serra Talhada,Campus Serra Talhada
354,2091307157054280,5,0,1,3,0,3,0,0,0,4,,2,0,2,1,2,0,14,2,23,"255,82",,Ciências Biológicas,Instituto de Ciências Biológicas,Instituto de Ciências Biológicas
355,2346258272879036,8,0,0,0,0,0,0,0,0,0,,2,0,1,0,0,0,7,5,21,"153,12",,Ciências da Saúde,Campus Petrolina,Campus Petrolina
356,552196179272237,3,0,0,2,0,0,4,1,0,4,,0,0,3,0,1,0,9,0,14,"177,18",,Ciências Biológicas,Instituto de Ciências Biológicas,Instituto de Ciências Biológicas
357,6915061297206846,0,0,0,0,0,0,2,4,2,2,,1,1,1,0,0,0,6,2,12,"130,8",,Ciências Biológicas,Campus Garanhuns,Campus Garanhuns
358,936689382226961,16,0,0,1,0,0,1,0,0,0,,0,1,6,0,0,0,4,5,10,"152,61",,"Linguística, Letras e Artes",Campus Mata Norte,Campus Mata Norte
359,3562809066954885,0,0,0,1,0,0,0,0,0,0,,0,0,2,0,0,0,0,0,11,"80,67",,Ciências da Saúde,Faculdade de Odontologia de Pernambuco,Faculdade de Odontologia de Pernambuco
360,8523758772313782,9,0,7,1,0,2,0,0,0,0,1,0,6,8,3,0,0,12,10,15,"256,41",,Ciências Humanas,Campus Petrolina,Campus Petrolina
361,7744257090067345,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,"6,08",,Ciências Humanas,Campus Petrolina,Campus Petrolina
362,5180858252635422,0,0,0,0,0,0,0,0,0,0,,0,0,0,6,0,0,0,0,7,"61,7",,Ciências Sociais Aplicadas,Faculdade de Ciências da Administração de Pernambuco,Faculdade de Ciências da Administração de Pernambuco
363,6919072366440708,4,0,0,4,0,0,0,0,0,0,,0,0,0,8,0,0,6,0,5,"88,79",,Ciências Exatas e da Terra,Campus Caruaru,Campus Caruaru
364,7277058268920317,0,0,0,0,0,0,0,0,0,0,,0,2,7,4,0,0,0,0,4,"60,78",,Ciências Humanas,Campus Mata Norte,Campus Mata Norte
365,497917388821153,5,0,0,0,0,0,1,0,1,0,,0,0,0,0,0,0,2,0,8,"76,93",,Ciências da Saúde,Escola Superior de Educação Física,Escola Superior de Educação Física
366,7781288256809203,3,0,0,0,0,0,1,0,0,1,,3,1,6,0,0,0,8,0,6,"71,94",,Ciências da Saúde,Faculdade de Enfermagem Nossa Senhora das Graças,Faculdade de Enfermagem Nossa Senhora das Graças
367,7379571371999102,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,"31,18",,Ciências Humanas,Campus Garanhuns,Campus Garanhuns
368,4501419526514366,0,1,1,1,0,1,0,0,0,0,,0,0,0,2,0,0,9,4,8,"89,18",,Ciências da Saúde,Faculdade de Ciências Médicas de Pernambuco,Faculdade de Ciências Médicas de Pernambuco
369,5202025068359328,5,0,0,0,0,0,0,0,0,0,,0,4,4,1,0,0,13,9,0,"74,44",,"Linguística, Letras e Artes",Faculdade de Ciências da Administração de Pernambuco,Faculdade de Ciências da Administração de Pernambuco
370,8595957726044926,0,5,0,0,0,0,1,2,0,0,,1,1,1,0,0,0,1,4,7,"71,21",,Ciências da Saúde,Campus Garanhuns,Campus Garanhuns
371,8549101690272163,14,0,6,7,0,0,2,1,0,1,,4,2,4,0,0,0,0,6,10,"164,54",,Ciências Agrárias,Campus Petrolina,Campus Petrolina
372,4435223781591585,6,0,0,0,0,0,0,0,0,0,,0,0,0,3,0,0,0,2,5,"55,15",,Ciências Humanas,Campus Petrolina,Campus Petrolina
373,7210350209508802,18,0,6,5,0,0,0,0,0,0,,0,3,9,0,0,0,6,0,7,"197,62",,Ciências Humanas,Campus Mata Norte,Campus Mata Norte
374,741834503525186,2,7,0,0,0,0,1,0,0,0,,0,0,3,0,0,0,8,2,5,"87,25",,Ciências da Saúde,Faculdade de Ciências Médicas de Pernambuco,Faculdade de Ciências Médicas de Pernambuco
375,7474052389225413,6,0,1,1,0,0,3,2,0,0,,4,0,1,0,0,0,4,2,26,"196,58",,Ciências da Saúde,Campus Arcoverde,Campus Arcoverde
376,893872079698660,6,4,0,1,0,0,0,0,0,0,,1,0,0,3,0,0,13,5,11,"125,07",,Ciências da Saúde,Campus Arcoverde,Campus Arcoverde
377,"9,14381648457024E+015",9,3,0,0,0,0,0,0,0,0,,0,0,5,0,0,0,0,2,9,"115,43",,Ciências da Saúde,Campus Ouricuri,Campus Ouricuri
378,5996571316647126,18,0,0,0,0,0,2,1,0,0,,0,0,4,0,0,0,0,12,3,"88,25",,"Linguística, Letras e Artes",Campus Petrolina,Campus Petrolina
379,3491558231307508,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,"5,27",,Ciências Sociais Aplicadas,Faculdade de Ciências da Administração de Pernambuco,Faculdade de Ciências da Administração de Pernambuco
380,1192715532194789,6,0,0,0,0,0,2,1,0,1,,0,0,0,1,0,0,0,9,8,"86,35",,Multidisciplinar,Campus Petrolina,Campus Petrolina
381,5275801168300660,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,5,"38,86",,Ciências Exatas e da Terra,Escola Politécnica de Pernambuco,Escola Politécnica de Pernambuco
382,264608783069847,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,"Linguística, Letras e Artes",Campus Mata Norte,Campus Mata Norte
